The graph dataset locates at /work/03924/xuehaiq/maverick2/jingji/gnn_datasets/citeseer
The number of GCN layers: 3
The number of hidden units: 128
The number of training epoches: 1000
Learning rate: 0.010000
Initialized node c227-104.maverick2.tacc.utexas.edu
Building the CSR structure...
        It takes 0.000 seconds.
Building the CSC structure...
        It takes 0.000 seconds.
Building the Feature Vector...
        It takes 0.036 seconds.
Building the Label Vector...
        It takes 0.001 seconds.
Number of classes: 6
Number of feature dimensions: 3703
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 6
    Number of vertices: 3327
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 90:        Loss 0.22626, Accuracy 0.928
    Epoch 91:        Loss 0.23015, Accuracy 0.929
    Epoch 92:        Loss 0.22221, Accuracy 0.929
    Epoch 93:        Loss 0.22438, Accuracy 0.928
    Epoch 94:        Loss 0.22019, Accuracy 0.931
    Epoch 95:        Loss 0.21963, Accuracy 0.932
    Epoch 96:        Loss 0.21922, Accuracy 0.930
    Epoch 97:        Loss 0.21561, Accuracy 0.932
    Epoch 98:        Loss 0.21727, Accuracy 0.934
    Epoch 99:        Loss 0.21291, Accuracy 0.933
    Epoch 100:        Loss 0.21287, Accuracy 0.933
    Epoch 101:        Loss 0.21070, Accuracy 0.935
    Epoch 102:        Loss 0.20900, Accuracy 0.935
    Epoch 103:        Loss 0.20872, Accuracy 0.935
    Epoch 104:        Loss 0.20618, Accuracy 0.937
    Epoch 105:        Loss 0.20672, Accuracy 0.937
    Epoch 106:        Loss 0.20427, Accuracy 0.936
    Epoch 107:        Loss 0.20336, Accuracy 0.937
    Epoch 108:        Loss 0.20265, Accuracy 0.938
    Epoch 109:        Loss 0.20027, Accuracy 0.937
    Epoch 110:        Loss 0.20029, Accuracy 0.938
    Epoch 111:        Loss 0.19832, Accuracy 0.938
    Epoch 112:        Loss 0.19739, Accuracy 0.939
    Epoch 113:        Loss 0.19660, Accuracy 0.940
    Epoch 114:        Loss 0.19472, Accuracy 0.940
    Epoch 115:        Loss 0.19423, Accuracy 0.940
    Epoch 116:        Loss 0.19266, Accuracy 0.940
    Epoch 117:        Loss 0.19153, Accuracy 0.940
    Epoch 118:        Loss 0.19084, Accuracy 0.941
    Epoch 119:        Loss 0.18930, Accuracy 0.941
    Epoch 120:        Loss 0.18863, Accuracy 0.941
    Epoch 121:        Loss 0.18770, Accuracy 0.942
    Epoch 122:        Loss 0.18640, Accuracy 0.943
    Epoch 123:        Loss 0.18571, Accuracy 0.942
    Epoch 124:        Loss 0.18462, Accuracy 0.943
    Epoch 125:        Loss 0.18354, Accuracy 0.943
    Epoch 126:        Loss 0.18281, Accuracy 0.943
    Epoch 127:        Loss 0.18175, Accuracy 0.944
    Epoch 128:        Loss 0.18088, Accuracy 0.944
    Epoch 129:        Loss 0.18012, Accuracy 0.943
    Epoch 130:        Loss 0.17912, Accuracy 0.944
    Epoch 131:        Loss 0.17831, Accuracy 0.944
    Epoch 132:        Loss 0.17754, Accuracy 0.944
    Epoch 133:        Loss 0.17658, Accuracy 0.945
    Epoch 134:        Loss 0.17576, Accuracy 0.945
    Epoch 135:        Loss 0.17497, Accuracy 0.945
    Epoch 136:        Loss 0.17405, Accuracy 0.946
    Epoch 137:        Loss 0.17325, Accuracy 0.946
    Epoch 138:        Loss 0.17246, Accuracy 0.945
    Epoch 139:        Loss 0.17159, Accuracy 0.946
    Epoch 140:        Loss 0.17082, Accuracy 0.946
    Epoch 141:        Loss 0.17008, Accuracy 0.946
    Epoch 142:        Loss 0.16925, Accuracy 0.946
    Epoch 143:        Loss 0.16846, Accuracy 0.946
    Epoch 144:        Loss 0.16768, Accuracy 0.946
    Epoch 145:        Loss 0.16683, Accuracy 0.947
    Epoch 146:        Loss 0.16598, Accuracy 0.948
    Epoch 147:        Loss 0.16517, Accuracy 0.948
    Epoch 148:        Loss 0.16436, Accuracy 0.948
