The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 3
The number of hidden units: 16
The number of training epoches: 5000
Learning rate: 0.001000
Initialized node g004.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.920 seconds.
Building the CSC structure...
        It takes 1.889 seconds.
Building the Feature Vector...
        It takes 0.575 seconds.
Building the Label Vector...
        It takes 0.308 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.93974	TrainAcc 0.0010	ValidAcc 0.0015	TestAcc 0.0085
    Epoch 1:	Loss 3.93094	TrainAcc 0.0012	ValidAcc 0.0019	TestAcc 0.0086
    Epoch 2:	Loss 3.91939	TrainAcc 0.0017	ValidAcc 0.0024	TestAcc 0.0090
    Epoch 3:	Loss 3.90630	TrainAcc 0.0026	ValidAcc 0.0033	TestAcc 0.0097
    Epoch 4:	Loss 3.89236	TrainAcc 0.0040	ValidAcc 0.0047	TestAcc 0.0108
    Epoch 5:	Loss 3.87797	TrainAcc 0.0067	ValidAcc 0.0077	TestAcc 0.0126
    Epoch 6:	Loss 3.86338	TrainAcc 0.0100	ValidAcc 0.0111	TestAcc 0.0149
    Epoch 7:	Loss 3.84876	TrainAcc 0.0151	ValidAcc 0.0153	TestAcc 0.0182
    Epoch 8:	Loss 3.83421	TrainAcc 0.0221	ValidAcc 0.0214	TestAcc 0.0222
    Epoch 9:	Loss 3.81978	TrainAcc 0.0290	ValidAcc 0.0279	TestAcc 0.0267
    Epoch 10:	Loss 3.80546	TrainAcc 0.0362	ValidAcc 0.0352	TestAcc 0.0313
    Epoch 11:	Loss 3.79122	TrainAcc 0.0435	ValidAcc 0.0425	TestAcc 0.0363
    Epoch 12:	Loss 3.77706	TrainAcc 0.0505	ValidAcc 0.0499	TestAcc 0.0411
    Epoch 13:	Loss 3.76295	TrainAcc 0.0565	ValidAcc 0.0563	TestAcc 0.0457
    Epoch 14:	Loss 3.74881	TrainAcc 0.0617	ValidAcc 0.0614	TestAcc 0.0500
    Epoch 15:	Loss 3.73458	TrainAcc 0.0663	ValidAcc 0.0661	TestAcc 0.0543
    Epoch 16:	Loss 3.72018	TrainAcc 0.0710	ValidAcc 0.0708	TestAcc 0.0579
    Epoch 17:	Loss 3.70554	TrainAcc 0.0757	ValidAcc 0.0759	TestAcc 0.0610
    Epoch 18:	Loss 3.69065	TrainAcc 0.0801	ValidAcc 0.0807	TestAcc 0.0642
    Epoch 19:	Loss 3.67550	TrainAcc 0.0850	ValidAcc 0.0846	TestAcc 0.0674
    Epoch 20:	Loss 3.66005	TrainAcc 0.0900	ValidAcc 0.0888	TestAcc 0.0707
    Epoch 21:	Loss 3.64431	TrainAcc 0.0950	ValidAcc 0.0934	TestAcc 0.0736
    Epoch 22:	Loss 3.62824	TrainAcc 0.0996	ValidAcc 0.0982	TestAcc 0.0771
