The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 2
The number of hidden units: 16
The number of training epoches: -1
Learning rate: 0.030000
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.923 seconds.
Building the CSC structure...
        It takes 1.864 seconds.
Building the Feature Vector...
        It takes 0.577 seconds.
Building the Label Vector...
        It takes 0.314 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.99949	TrainAcc 0.0039	ValidAcc 0.0041	TestAcc 0.0087
    Epoch 1:	Loss 3.69094	TrainAcc 0.0959	ValidAcc 0.0957	TestAcc 0.0730
    Epoch 2:	Loss 3.32415	TrainAcc 0.3093	ValidAcc 0.2998	TestAcc 0.2148
    Epoch 3:	Loss 2.89223	TrainAcc 0.3782	ValidAcc 0.3735	TestAcc 0.2733
    Epoch 4:	Loss 2.45232	TrainAcc 0.4744	ValidAcc 0.4637	TestAcc 0.3310
    Epoch 5:	Loss 2.05201	TrainAcc 0.5963	ValidAcc 0.5800	TestAcc 0.4111
    Epoch 6:	Loss 1.70101	TrainAcc 0.6815	ValidAcc 0.6675	TestAcc 0.4837
    Epoch 7:	Loss 1.43462	TrainAcc 0.7268	ValidAcc 0.7161	TestAcc 0.5297
    Epoch 8:	Loss 1.28972	TrainAcc 0.7133	ValidAcc 0.7048	TestAcc 0.5314
    Epoch 9:	Loss 1.17632	TrainAcc 0.7289	ValidAcc 0.7210	TestAcc 0.5424
    Epoch 10:	Loss 1.05410	TrainAcc 0.7677	ValidAcc 0.7557	TestAcc 0.5660
    Epoch 11:	Loss 0.96831	TrainAcc 0.7889	ValidAcc 0.7773	TestAcc 0.5841
    Epoch 12:	Loss 0.91811	TrainAcc 0.7984	ValidAcc 0.7883	TestAcc 0.5944
    Epoch 13:	Loss 0.87788	TrainAcc 0.8059	ValidAcc 0.7945	TestAcc 0.6029
    Epoch 14:	Loss 0.84447	TrainAcc 0.8143	ValidAcc 0.8023	TestAcc 0.6122
    Epoch 15:	Loss 0.82414	TrainAcc 0.8211	ValidAcc 0.8078	TestAcc 0.6205
    Epoch 16:	Loss 0.80807	TrainAcc 0.8250	ValidAcc 0.8118	TestAcc 0.6267
    Epoch 17:	Loss 0.78190	TrainAcc 0.8294	ValidAcc 0.8169	TestAcc 0.6314
    Epoch 18:	Loss 0.75148	TrainAcc 0.8347	ValidAcc 0.8229	TestAcc 0.6357
    Epoch 19:	Loss 0.72571	TrainAcc 0.8405	ValidAcc 0.8300	TestAcc 0.6396
    Epoch 20:	Loss 0.70768	TrainAcc 0.8456	ValidAcc 0.8348	TestAcc 0.6422
    Epoch 21:	Loss 0.69239	TrainAcc 0.8496	ValidAcc 0.8389	TestAcc 0.6440
    Epoch 22:	Loss 0.68051	TrainAcc 0.8518	ValidAcc 0.8417	TestAcc 0.6455
    Epoch 23:	Loss 0.67082	TrainAcc 0.8534	ValidAcc 0.8422	TestAcc 0.6478
    Epoch 24:	Loss 0.66002	TrainAcc 0.8549	ValidAcc 0.8431	TestAcc 0.6508
    Epoch 25:	Loss 0.64749	TrainAcc 0.8565	ValidAcc 0.8447	TestAcc 0.6530
    Epoch 26:	Loss 0.63447	TrainAcc 0.8581	ValidAcc 0.8468	TestAcc 0.6545
    Epoch 27:	Loss 0.62215	TrainAcc 0.8595	ValidAcc 0.8481	TestAcc 0.6560
    Epoch 28:	Loss 0.61139	TrainAcc 0.8608	ValidAcc 0.8494	TestAcc 0.6584
    Epoch 29:	Loss 0.60263	TrainAcc 0.8624	ValidAcc 0.8507	TestAcc 0.6613
    Epoch 30:	Loss 0.59495	TrainAcc 0.8639	ValidAcc 0.8525	TestAcc 0.6638
    Epoch 31:	Loss 0.58688	TrainAcc 0.8654	ValidAcc 0.8539	TestAcc 0.6655
    Epoch 32:	Loss 0.57845	TrainAcc 0.8667	ValidAcc 0.8545	TestAcc 0.6662
    Epoch 33:	Loss 0.57073	TrainAcc 0.8676	ValidAcc 0.8559	TestAcc 0.6659
    Epoch 34:	Loss 0.56407	TrainAcc 0.8687	ValidAcc 0.8572	TestAcc 0.6653
    Epoch 35:	Loss 0.55812	TrainAcc 0.8696	ValidAcc 0.8586	TestAcc 0.6648
    Epoch 36:	Loss 0.55235	TrainAcc 0.8708	ValidAcc 0.8594	TestAcc 0.6650
    Epoch 37:	Loss 0.54655	TrainAcc 0.8716	ValidAcc 0.8596	TestAcc 0.6660
    Epoch 38:	Loss 0.54086	TrainAcc 0.8723	ValidAcc 0.8606	TestAcc 0.6677
    Epoch 39:	Loss 0.53549	TrainAcc 0.8726	ValidAcc 0.8612	TestAcc 0.6695
    Epoch 40:	Loss 0.53056	TrainAcc 0.8732	ValidAcc 0.8610	TestAcc 0.6712
    Epoch 41:	Loss 0.52604	TrainAcc 0.8738	ValidAcc 0.8618	TestAcc 0.6726
    Epoch 42:	Loss 0.52194	TrainAcc 0.8743	ValidAcc 0.8618	TestAcc 0.6737
    Epoch 43:	Loss 0.51811	TrainAcc 0.8749	ValidAcc 0.8624	TestAcc 0.6745
    Epoch 44:	Loss 0.51450	TrainAcc 0.8757	ValidAcc 0.8633	TestAcc 0.6750
    Epoch 45:	Loss 0.51113	TrainAcc 0.8761	ValidAcc 0.8643	TestAcc 0.6755
    Epoch 46:	Loss 0.50797	TrainAcc 0.8768	ValidAcc 0.8655	TestAcc 0.6758
    Epoch 47:	Loss 0.50489	TrainAcc 0.8774	ValidAcc 0.8661	TestAcc 0.6763
    Epoch 48:	Loss 0.50189	TrainAcc 0.8780	ValidAcc 0.8662	TestAcc 0.6770
    Epoch 49:	Loss 0.49900	TrainAcc 0.8787	ValidAcc 0.8668	TestAcc 0.6779
    Epoch 50:	Loss 0.49625	TrainAcc 0.8793	ValidAcc 0.8673	TestAcc 0.6788
    Epoch 51:	Loss 0.49366	TrainAcc 0.8798	ValidAcc 0.8680	TestAcc 0.6795
    Epoch 52:	Loss 0.49125	TrainAcc 0.8803	ValidAcc 0.8684	TestAcc 0.6800
    Epoch 53:	Loss 0.48903	TrainAcc 0.8807	ValidAcc 0.8692	TestAcc 0.6804
    Epoch 54:	Loss 0.48696	TrainAcc 0.8812	ValidAcc 0.8696	TestAcc 0.6806
    Epoch 55:	Loss 0.48498	TrainAcc 0.8815	ValidAcc 0.8699	TestAcc 0.6808
    Epoch 56:	Loss 0.48311	TrainAcc 0.8817	ValidAcc 0.8702	TestAcc 0.6810
    Epoch 57:	Loss 0.48135	TrainAcc 0.8821	ValidAcc 0.8708	TestAcc 0.6813
    Epoch 58:	Loss 0.47971	TrainAcc 0.8822	ValidAcc 0.8711	TestAcc 0.6816
    Epoch 59:	Loss 0.47812	TrainAcc 0.8825	ValidAcc 0.8716	TestAcc 0.6820
    Epoch 60:	Loss 0.47656	TrainAcc 0.8828	ValidAcc 0.8720	TestAcc 0.6824
    Epoch 61:	Loss 0.47505	TrainAcc 0.8832	ValidAcc 0.8724	TestAcc 0.6830
    Epoch 62:	Loss 0.47363	TrainAcc 0.8833	ValidAcc 0.8725	TestAcc 0.6836
    Epoch 63:	Loss 0.47228	TrainAcc 0.8838	ValidAcc 0.8728	TestAcc 0.6842
    Epoch 64:	Loss 0.47099	TrainAcc 0.8842	ValidAcc 0.8732	TestAcc 0.6849
    Epoch 65:	Loss 0.46974	TrainAcc 0.8844	ValidAcc 0.8734	TestAcc 0.6855
    Epoch 66:	Loss 0.46854	TrainAcc 0.8847	ValidAcc 0.8738	TestAcc 0.6859
    Epoch 67:	Loss 0.46738	TrainAcc 0.8850	ValidAcc 0.8743	TestAcc 0.6862
    Epoch 68:	Loss 0.46628	TrainAcc 0.8851	ValidAcc 0.8745	TestAcc 0.6865
    Epoch 69:	Loss 0.46523	TrainAcc 0.8853	ValidAcc 0.8748	TestAcc 0.6866
    Epoch 70:	Loss 0.46423	TrainAcc 0.8854	ValidAcc 0.8750	TestAcc 0.6866
    Epoch 71:	Loss 0.46327	TrainAcc 0.8859	ValidAcc 0.8754	TestAcc 0.6867
    Epoch 72:	Loss 0.46234	TrainAcc 0.8859	ValidAcc 0.8757	TestAcc 0.6868
    Epoch 73:	Loss 0.46143	TrainAcc 0.8861	ValidAcc 0.8760	TestAcc 0.6870
    Epoch 74:	Loss 0.46054	TrainAcc 0.8862	ValidAcc 0.8762	TestAcc 0.6872
    Epoch 75:	Loss 0.45966	TrainAcc 0.8863	ValidAcc 0.8762	TestAcc 0.6874
    Epoch 76:	Loss 0.45881	TrainAcc 0.8863	ValidAcc 0.8762	TestAcc 0.6877
    Epoch 77:	Loss 0.45797	TrainAcc 0.8865	ValidAcc 0.8762	TestAcc 0.6880
    Epoch 78:	Loss 0.45716	TrainAcc 0.8867	ValidAcc 0.8764	TestAcc 0.6882
    Epoch 79:	Loss 0.45638	TrainAcc 0.8869	ValidAcc 0.8766	TestAcc 0.6884
    Epoch 80:	Loss 0.45564	TrainAcc 0.8871	ValidAcc 0.8767	TestAcc 0.6886
